,date,Waikato,lagged
273,2014-10-31,332000.0000000001,324600.0
274,2014-11-30,356000.0000000001,332000.0000000001
275,2014-12-31,345000.0000000001,356000.0000000001
276,2015-01-31,335000.0000000001,345000.0000000001
277,2015-02-28,332500.0,335000.0000000001
278,2015-03-31,325000.0000000001,332500.0
279,2015-04-30,350000.0000000001,325000.0000000001
280,2015-05-31,340000.0,350000.0000000001
281,2015-06-30,338000.00000000006,340000.0
282,2015-07-31,349000.0000000001,338000.00000000006
283,2015-08-31,350000.0000000001,349000.0000000001
284,2015-09-30,375000.00000000006,350000.0000000001
285,2015-10-31,380000.00000000006,375000.00000000006
286,2015-11-30,381000.00000000006,380000.00000000006
287,2015-12-31,380000.00000000006,381000.00000000006
288,2016-01-31,375000.00000000006,380000.00000000006
289,2016-02-29,390000.00000000006,375000.00000000006
290,2016-03-31,400000.00000000006,390000.00000000006
291,2016-04-30,400000.00000000006,400000.00000000006
292,2016-05-31,405000.00000000006,400000.00000000006
293,2016-06-30,430000.00000000006,405000.00000000006
294,2016-07-31,445000.0000000001,430000.00000000006
295,2016-08-31,425000.00000000006,445000.0000000001
296,2016-09-30,464000.00000000006,425000.00000000006
297,2016-10-31,455000.0000000001,464000.00000000006
298,2016-11-30,465000.0000000001,455000.0000000001
299,2016-12-31,470000.0000000001,465000.0000000001
300,2017-01-31,446000.00000000006,470000.0000000001
301,2017-02-28,455000.0000000001,446000.00000000006
302,2017-03-31,483500.0000000001,455000.0000000001
303,2017-04-30,490500.0000000001,483500.0000000001
304,2017-05-31,487500.00000000006,490500.0000000001
305,2017-06-30,470000.0000000001,487500.00000000006
306,2017-07-31,490000.00000000006,470000.0000000001
307,2017-08-31,480000.0000000001,490000.00000000006
308,2017-09-30,480000.0000000001,480000.0000000001
309,2017-10-31,499000.0000000001,480000.0000000001
310,2017-11-30,490000.00000000006,499000.0000000001
311,2017-12-31,523000.00000000006,490000.00000000006
312,2018-01-31,488500.0000000001,523000.00000000006
313,2018-02-28,503000.00000000006,488500.0000000001
314,2018-03-31,510000.00000000006,503000.00000000006
315,2018-04-30,503000.00000000006,510000.00000000006
316,2018-05-31,510000.00000000006,503000.00000000006
317,2018-06-30,525000.0,510000.00000000006
318,2018-07-31,514000.0000000001,525000.0
319,2018-08-31,525000.0,514000.0000000001
320,2018-09-30,521000.0000000001,525000.0
321,2018-10-31,520000.00000000006,521000.0000000001
322,2018-11-30,530000.0,520000.00000000006
323,2018-12-31,530000.0,530000.0
324,2019-01-31,550000.0,530000.0
325,2019-02-28,530000.0,550000.0
326,2019-03-31,529000.0000000001,530000.0
327,2019-04-30,550000.0,529000.0000000001
328,2019-05-31,546000.0000000001,550000.0
329,2019-06-30,525000.0,546000.0000000001
330,2019-07-31,525300.0,525000.0
331,2019-08-31,538000.0000000001,525300.0
332,2019-09-30,555000.0,538000.0000000001
333,2019-10-31,565000.0000000001,555000.0
334,2019-11-30,592000.0000000001,565000.0000000001
335,2019-12-31,575000.0000000001,592000.0000000001
336,2020-01-31,595000.0000000001,575000.0000000001
337,2020-02-29,580000.0000000001,595000.0000000001
338,2020-03-31,598000.0000000001,580000.0000000001
339,2020-04-30,530000.0,598000.0000000001
340,2020-05-31,600000.0000000001,530000.0
341,2020-06-30,615000.0000000001,600000.0000000001
342,2020-07-31,615000.0000000001,615000.0000000001
343,2020-08-31,630000.0,615000.0000000001
344,2020-09-30,635000.0,630000.0
345,2020-10-31,651500.0,635000.0
346,2020-11-30,670000.0,651500.0
347,2020-12-31,675000.0,670000.0
348,2021-01-31,660000.0,675000.0
349,2021-02-28,712000.0000000001,660000.0
350,2021-03-31,728000.0000000001,712000.0000000001
351,2021-04-30,731600.0000000001,728000.0000000001
352,2021-05-31,730000.0000000001,731600.0000000001
353,2021-06-30,735000.0000000001,730000.0000000001
354,2021-07-31,730000.0000000001,735000.0000000001
355,2021-08-31,780000.0,730000.0000000001
356,2021-09-30,775000.0,780000.0
357,2021-10-31,802000.0,775000.0
358,2021-11-30,852000.0000000001,802000.0
359,2021-12-31,849000.0000000001,852000.0000000001
360,2022-01-31,820000.0,849000.0000000001
361,2022-02-28,835000.0000000001,820000.0
362,2022-03-31,843000.0,835000.0000000001
363,2022-04-30,860000.0,843000.0
364,2022-05-31,800000.0,860000.0
365,2022-06-30,839500.0000000001,800000.0
366,2022-07-31,790000.0,839500.0000000001
367,2022-08-31,780000.0,790000.0
368,2022-09-30,775000.0,780000.0
369,2022-10-31,790000.0,775000.0
370,2022-11-30,785000.0,790000.0
371,2022-12-31,750000.0000000001,785000.0
372,2023-01-31,773000.0,750000.0000000001
373,2023-02-28,775000.0,773000.0
374,2023-03-31,739000.0000000001,775000.0
375,2023-04-30,745000.0000000001,739000.0000000001
376,2023-05-31,737500.0,745000.0000000001
377,2023-06-30,737300.0000000001,737500.0
378,2023-07-31,725000.0000000001,737300.0000000001
379,2023-08-31,735000.0000000001,725000.0000000001
380,2023-09-30,748000.0,735000.0000000001
381,2023-10-31,755000.0000000001,748000.0
382,2023-11-30,767000.0000000001,755000.0000000001
383,2023-12-31,765000.0,767000.0000000001
384,2024-01-31,765000.0,765000.0
385,2024-02-29,760000.0000000001,765000.0
386,2024-03-31,757000.0000000001,760000.0000000001
387,2024-04-30,745217.0,757000.0000000001
388,2024-05-31,729000.0,745217.0
389,2024-06-30,701000.0000000001,729000.0
390,2024-07-31,725000.0000000001,701000.0000000001
391,2024-08-31,730000.0000000001,725000.0000000001
