,date,Gisborne,lagged
284,2015-09-30,221157.44349181608,226145.75214341385
285,2015-10-31,241110.67809820728,221157.44349181608
286,2015-11-30,221157.44349181608,241110.67809820728
287,2015-12-31,233129.38425565077,221157.44349181608
288,2016-01-31,271040.53000779427,233129.38425565077
289,2016-02-29,216169.13484021815,271040.53000779427
290,2016-03-31,231134.06079501164,216169.13484021815
291,2016-04-30,237120.03117692907,231134.06079501164
292,2016-05-31,227642.2447388932,237120.03117692907
293,2016-06-30,245101.3250194856,227642.2447388932
294,2016-07-31,251087.29540140287,245101.3250194856
295,2016-08-31,266052.2213561964,251087.29540140287
296,2016-09-30,236122.36944660952,266052.2213561964
297,2016-10-31,264056.8978955573,236122.36944660952
298,2016-11-30,263059.2361652378,264056.8978955573
299,2016-12-31,286005.4559625877,263059.2361652378
300,2017-01-31,273035.8534684334,286005.4559625877
301,2017-02-28,320923.6165237724,273035.8534684334
302,2017-03-31,281017.14731098985,320923.6165237724
303,2017-04-30,281017.14731098985,281017.14731098985
304,2017-05-31,296979.73499610287,281017.14731098985
305,2017-06-30,261063.91270459865,296979.73499610287
306,2017-07-31,305958.69056897896,261063.91270459865
307,2017-08-31,236122.36944660952,305958.69056897896
308,2017-09-30,271040.53000779427,236122.36944660952
309,2017-10-31,310946.9992205768,271040.53000779427
310,2017-11-30,295982.0732657833,310946.9992205768
311,2017-12-31,294984.41153546376,295982.0732657833
312,2018-01-31,276028.838659392,294984.41153546376
313,2018-02-28,310946.9992205768,276028.838659392
314,2018-03-31,330900.23382696806,310946.9992205768
315,2018-04-30,312942.322681216,330900.23382696806
316,2018-05-31,286005.4559625877,312942.322681216
317,2018-06-30,330900.23382696806,286005.4559625877
318,2018-07-31,306457.5214341388,330900.23382696806
319,2018-08-31,335888.5424785659,306457.5214341388
320,2018-09-30,343371.0054559626,335888.5424785659
321,2018-10-31,310946.9992205768,343371.0054559626
322,2018-11-30,342473.10989867494,310946.9992205768
323,2018-12-31,338881.52766952454,342473.10989867494
324,2019-01-31,333893.21901792666,338881.52766952454
325,2019-02-28,390759.93764614186,333893.21901792666
326,2019-03-31,380783.3203429462,390759.93764614186
327,2019-04-30,358834.76227591577,380783.3203429462
328,2019-05-31,440643.02416212007,358834.76227591577
329,2019-06-30,340876.8511301637,440643.02416212007
330,2019-07-31,355940.5455962588,340876.8511301637
331,2019-08-31,420689.7895557287,355940.5455962588
332,2019-09-30,384773.9672642245,420689.7895557287
333,2019-10-31,425678.09820732655,384773.9672642245
334,2019-11-30,389762.2759158223,425678.09820732655
335,2019-12-31,410713.17225253314,389762.2759158223
336,2020-01-31,400736.55494933744,410713.17225253314
337,2020-02-29,450619.64146531565,400736.55494933744
338,2020-03-31,402350.7716289946,450619.64146531565
339,2020-04-30,400736.55494933744,402350.7716289946
340,2020-05-31,415701.48090413096,400736.55494933744
341,2020-06-30,440643.02416212007,415701.48090413096
342,2020-07-31,481297.7396726423,440643.02416212007
343,2020-08-31,460596.25876851135,481297.7396726423
344,2020-09-30,560362.4318004677,460596.25876851135
345,2020-10-31,570339.0491036633,560362.4318004677
346,2020-11-30,530432.5798908807,570339.0491036633
347,2020-12-31,590292.2837100546,530432.5798908807
348,2021-01-31,500502.7279812938,590292.2837100546
349,2021-02-28,595280.5923616524,500502.7279812938
350,2021-03-31,645163.6788776306,595280.5923616524
351,2021-04-30,690058.4567420109,645163.6788776306
352,2021-05-31,620222.1356196415,690058.4567420109
353,2021-06-30,605257.209664848,620222.1356196415
354,2021-07-31,625210.4442712393,605257.209664848
355,2021-08-31,500502.7279812938,625210.4442712393
356,2021-09-30,600268.9010132502,500502.7279812938
357,2021-10-31,625210.4442712393,600268.9010132502
358,2021-11-30,685070.1480904132,625210.4442712393
359,2021-12-31,695046.7653936088,685070.1480904132
360,2022-01-31,650151.9875292284,695046.7653936088
361,2022-02-28,715000.0,650151.9875292284
362,2022-03-31,715000.0,715000.0
363,2022-04-30,685070.1480904132,715000.0
364,2022-05-31,665116.9134840218,685070.1480904132
365,2022-06-30,620222.1356196415,665116.9134840218
366,2022-07-31,629201.0911925175,620222.1356196415
367,2022-08-31,566348.4021823851,629201.0911925175
368,2022-09-30,571336.7108339828,566348.4021823851
369,2022-10-31,600268.9010132502,571336.7108339828
370,2022-11-30,660128.6048324241,600268.9010132502
371,2022-12-31,585303.9750584568,660128.6048324241
372,2023-01-31,675093.5307872174,585303.9750584568
373,2023-02-28,575327.3577552611,675093.5307872174
374,2023-03-31,630198.7529228372,575327.3577552611
375,2023-04-30,640175.3702260328,630198.7529228372
376,2023-05-31,600268.9010132502,640175.3702260328
377,2023-06-30,575327.3577552611,600268.9010132502
378,2023-07-31,575327.3577552611,575327.3577552611
379,2023-08-31,650151.9875292284,575327.3577552611
380,2023-09-30,550385.814497272,650151.9875292284
381,2023-10-31,570339.0491036633,550385.814497272
382,2023-11-30,560362.4318004677,570339.0491036633
383,2023-12-31,551383.4762275916,560362.4318004677
384,2024-01-31,515467.6539360873,551383.4762275916
385,2024-02-29,619224.473889322,515467.6539360873
386,2024-03-31,625210.4442712393,619224.473889322
387,2024-04-30,662522.992985191,625210.4442712393
388,2024-05-31,595280.5923616524,662522.992985191
389,2024-06-30,615233.8269680437,595280.5923616524
390,2024-07-31,585303.9750584568,615233.8269680437
391,2024-08-31,620222.1356196415,585303.9750584568
