,date,Auckland,lagged
337,2020-02-29,884999.9999999998,869999.9999999999
338,2020-03-31,945000.0,884999.9999999998
339,2020-04-30,925000.0,945000.0
340,2020-05-31,905000.0,925000.0
341,2020-06-30,919999.9999999998,905000.0
342,2020-07-31,918000.0,919999.9999999998
343,2020-08-31,949499.9999999998,918000.0
344,2020-09-30,955000.0,949499.9999999998
345,2020-10-31,1000000.0,955000.0
346,2020-11-30,1030000.0,1000000.0
347,2020-12-31,1025000.0,1030000.0
348,2021-01-31,995000.0,1025000.0
349,2021-02-28,1100000.0,995000.0
350,2021-03-31,1125000.0,1100000.0
351,2021-04-30,1120000.0,1125000.0
352,2021-05-31,1150000.0,1120000.0
353,2021-06-30,1150000.0,1150000.0
354,2021-07-31,1165000.0,1150000.0
355,2021-08-31,1199999.9999999998,1165000.0
356,2021-09-30,1140000.0,1199999.9999999998
357,2021-10-31,1248999.9999999998,1140000.0
358,2021-11-30,1300000.0,1248999.9999999998
359,2021-12-31,1280000.0,1300000.0
360,2022-01-31,1199999.9999999998,1280000.0
361,2022-02-28,1189999.9999999998,1199999.9999999998
362,2022-03-31,1199999.9999999998,1189999.9999999998
363,2022-04-30,1170500.0,1199999.9999999998
364,2022-05-31,1110000.0,1170500.0
365,2022-06-30,1142499.9999999998,1110000.0
366,2022-07-31,1085000.0,1142499.9999999998
367,2022-08-31,1100000.0,1085000.0
368,2022-09-30,1036000.0,1100000.0
369,2022-10-31,1079000.0,1036000.0
370,2022-11-30,1060000.0,1079000.0
371,2022-12-31,1035000.0,1060000.0
372,2023-01-31,943000.0,1035000.0
373,2023-02-28,1000000.0,943000.0
374,2023-03-31,1000000.0,1000000.0
375,2023-04-30,990000.0,1000000.0
376,2023-05-31,995000.0,990000.0
377,2023-06-30,1000000.0,995000.0
378,2023-07-31,990000.0,1000000.0
379,2023-08-31,1000000.0,990000.0
380,2023-09-30,1022499.9999999998,1000000.0
381,2023-10-31,1045000.0,1022499.9999999998
382,2023-11-30,1055000.0,1045000.0
383,2023-12-31,1045000.0,1055000.0
384,2024-01-31,977000.0,1045000.0
385,2024-02-29,1020000.0,977000.0
386,2024-03-31,1070800.0,1020000.0
387,2024-04-30,1040000.0,1070800.0
388,2024-05-31,1020000.0,1040000.0
389,2024-06-30,1030000.0,1020000.0
390,2024-07-31,950000.0,1030000.0
391,2024-08-31,960000.0,950000.0
