,date,Bay_of_Plenty,lagged
293,2016-06-30,490421.0526315789,499338.6727688788
294,2016-07-31,499338.6727688788,490421.0526315789
295,2016-08-31,494384.43935926777,499338.6727688788
296,2016-09-30,504292.9061784897,494384.43935926777
297,2016-10-31,508256.2929061785,504292.9061784897
298,2016-11-30,515192.2196796339,508256.2929061785
299,2016-12-31,500824.942791762,515192.2196796339
300,2017-01-31,526091.533180778,500824.942791762
301,2017-02-28,506720.4805491991,526091.533180778
302,2017-03-31,545571.5789473683,506720.4805491991
303,2017-04-30,529064.0732265445,545571.5789473683
304,2017-05-31,541945.0800915333,529064.0732265445
305,2017-06-30,561266.5903890161,541945.0800915333
306,2017-07-31,494384.43935926777,561266.5903890161
307,2017-08-31,538972.5400457666,494384.43935926777
308,2017-09-30,551358.123569794,538972.5400457666
309,2017-10-31,530054.9199084669,551358.123569794
310,2017-11-30,575633.8672768879,530054.9199084669
311,2017-12-31,601395.8810068651,575633.8672768879
312,2018-01-31,538972.5400457666,601395.8810068651
313,2018-02-28,553835.2402745995,538972.5400457666
314,2018-03-31,578606.4073226545,553835.2402745995
315,2018-04-30,575633.8672768879,578606.4073226545
316,2018-05-31,593171.8535469108,575633.8672768879
317,2018-06-30,577615.5606407323,593171.8535469108
318,2018-07-31,583560.6407322655,577615.5606407323
319,2018-08-31,563743.7070938216,583560.6407322655
320,2018-09-30,553835.2402745995,563743.7070938216
321,2018-10-31,578606.4073226545,553835.2402745995
322,2018-11-30,593469.1075514874,578606.4073226545
323,2018-12-31,613286.0411899313,593469.1075514874
324,2019-01-31,583560.6407322655,613286.0411899313
325,2019-02-28,590496.5675057208,583560.6407322655
326,2019-03-31,588514.8741418765,590496.5675057208
327,2019-04-30,603377.5743707095,588514.8741418765
328,2019-05-31,598423.3409610984,603377.5743707095
329,2019-06-30,599414.1876430206,598423.3409610984
330,2019-07-31,573652.1739130435,599414.1876430206
331,2019-08-31,602386.7276887872,573652.1739130435
332,2019-09-30,605359.2677345538,602386.7276887872
333,2019-10-31,623194.5080091534,605359.2677345538
334,2019-11-30,639048.0549199085,623194.5080091534
335,2019-12-31,638057.2082379863,639048.0549199085
336,2020-01-31,682645.3089244851,638057.2082379863
337,2020-02-29,671745.9954233409,682645.3089244851
338,2020-03-31,662828.3752860412,671745.9954233409
339,2020-04-30,633102.9748283753,662828.3752860412
340,2020-05-31,623194.5080091534,633102.9748283753
341,2020-06-30,650938.2151029748,623194.5080091534
342,2020-07-31,662828.3752860412,650938.2151029748
343,2020-08-31,667782.6086956521,662828.3752860412
344,2020-09-30,709398.1693363845,667782.6086956521
345,2020-10-31,728719.6796338672,709398.1693363845
346,2020-11-30,752004.5766590389,728719.6796338672
347,2020-12-31,722279.1762013731,752004.5766590389
348,2021-01-31,768848.9702517162,722279.1762013731
349,2021-02-28,849355.2631578947,768848.9702517162
350,2021-03-31,833254.0045766591,849355.2631578947
351,2021-04-30,801546.9107551487,833254.0045766591
352,2021-05-31,818886.7276887873,801546.9107551487
353,2021-06-30,831272.3112128146,818886.7276887873
354,2021-07-31,831272.3112128146,831272.3112128146
355,2021-08-31,841180.7780320366,831272.3112128146
356,2021-09-30,875860.4118993136,841180.7780320366
357,2021-10-31,900631.5789473685,875860.4118993136
358,2021-11-30,890723.1121281466,900631.5789473685
359,2021-12-31,922232.0366132724,890723.1121281466
360,2022-01-31,942247.1395881008,922232.0366132724
361,2022-02-28,969000.0,942247.1395881008
362,2022-03-31,930356.9794050344,969000.0
363,2022-04-30,895677.3455377575,930356.9794050344
364,2022-05-31,910540.0457665904,895677.3455377575
365,2022-06-30,900631.5789473685,910540.0457665904
366,2022-07-31,860997.7116704806,900631.5789473685
367,2022-08-31,895677.3455377575,860997.7116704806
368,2022-09-30,846135.0114416477,895677.3455377575
369,2022-10-31,838208.23798627,846135.0114416477
370,2022-11-30,858025.1716247139,838208.23798627
371,2022-12-31,875860.4118993136,858025.1716247139
372,2023-01-31,769839.8169336384,875860.4118993136
373,2023-02-28,823345.5377574372,769839.8169336384
374,2023-03-31,821363.8443935927,823345.5377574372
375,2023-04-30,821363.8443935927,821363.8443935927
376,2023-05-31,796592.6773455378,821363.8443935927
377,2023-06-30,831272.3112128146,796592.6773455378
378,2023-07-31,801546.9107551487,831272.3112128146
379,2023-08-31,771821.5102974828,801546.9107551487
380,2023-09-30,801546.9107551487,771821.5102974828
381,2023-10-31,826318.0778032037,801546.9107551487
382,2023-11-30,816409.6109839818,826318.0778032037
383,2023-12-31,831272.3112128146,816409.6109839818
384,2024-01-31,786684.2105263157,831272.3112128146
385,2024-02-29,821363.8443935927,786684.2105263157
386,2024-03-31,791638.4439359268,821363.8443935927
387,2024-04-30,821363.8443935927,791638.4439359268
388,2024-05-31,816409.6109839818,821363.8443935927
389,2024-06-30,781729.9771167048,816409.6109839818
390,2024-07-31,806501.1441647598,781729.9771167048
391,2024-08-31,781729.9771167048,806501.1441647598
